Date,Crypto,Open,High,Low,Close,Volume
2025-11-18,BNB,907.36,939.99,884.4,932.79,357275.458
2025-11-19,BNB,932.79,941.06,872.38,897.77,296358.274
2025-11-20,BNB,897.78,917.0,865.57,866.51,301802.981
2025-11-21,BNB,866.51,877.33,790.79,830.46,654486.049
2025-11-22,BNB,830.47,842.93,813.77,833.78,167225.62
2025-11-23,BNB,833.78,855.46,833.28,843.6,167524.177
2025-11-24,BNB,843.6,876.3,830.01,864.92,248464.802
2025-11-25,BNB,864.9,867.66,837.47,862.57,158750.859
2025-11-26,BNB,862.58,897.25,851.72,891.78,159649.392
2025-11-27,BNB,891.77,904.86,883.8,895.74,141249.084
2025-11-28,BNB,895.75,906.5,876.15,887.19,174843.677
2025-11-29,BNB,887.2,889.0,868.25,872.9,80059.932
2025-11-30,BNB,872.9,899.75,869.56,875.31,106230.587
2025-12-01,BNB,875.3,877.12,801.7,826.61,342746.385
2025-12-02,BNB,826.6,885.0,820.46,876.61,233149.68
2025-12-03,BNB,876.6,922.63,873.6,920.76,227309.929
2025-12-04,BNB,920.77,928.24,886.79,899.92,165779.563
2025-12-05,BNB,899.92,907.92,870.18,883.57,137493.999
2025-12-06,BNB,883.57,897.9,878.01,890.38,81289.981
2025-12-07,BNB,890.38,906.0,870.23,894.37,131888.814
2025-12-08,BNB,894.38,913.29,888.93,897.12,121354.06
2025-12-09,BNB,897.13,928.0,881.78,897.3,209645.573
2025-12-10,BNB,897.3,915.0,884.27,893.43,186333.021
2025-12-11,BNB,893.43,894.7,859.54,885.91,182476.864
2025-12-12,BNB,885.92,896.07,870.58,881.58,110640.466
2025-12-13,BNB,881.59,904.22,880.32,896.82,92401.054
2025-12-14,BNB,896.82,899.5,870.11,877.27,110914.028
2025-12-15,BNB,877.27,895.42,840.75,858.6,210867.871
2025-12-16,BNB,858.61,878.44,847.0,875.63,240835.336
2025-12-17,BNB,875.64,876.16,833.39,843.07,378073.209
2025-12-18,BNB,843.07,853.49,818.39,830.07,432024.878
2025-12-19,BNB,830.08,862.33,822.38,856.17,1227346.957
2025-12-20,BNB,856.17,859.7,850.9,854.17,57015.132
2025-12-21,BNB,854.17,859.91,845.5,858.64,69986.817
2025-12-22,BNB,858.63,871.0,850.85,858.66,147275.988
2025-12-23,BNB,858.67,861.46,838.24,844.3,103894.874
2025-12-24,BNB,844.3,850.0,835.21,846.58,84917.781
2025-12-25,BNB,846.57,847.99,826.81,829.64,72777.087
2025-12-26,BNB,829.63,847.16,821.21,834.72,120232.786
2025-12-27,BNB,834.72,846.54,834.0,845.04,89882.366
2025-12-28,BNB,845.05,867.22,839.2,859.32,91601.986
2025-12-29,BNB,859.32,872.12,846.0,852.46,127151.447
2025-12-30,BNB,852.46,864.05,848.7,861.65,73233.047
2025-12-31,BNB,861.66,877.29,857.69,864.3,149994.618
2026-01-01,BNB,864.31,874.51,856.14,864.39,80713.662
2026-01-02,BNB,864.4,891.14,859.64,881.25,129071.742
2026-01-03,BNB,881.25,884.24,868.65,878.63,79965.205
2026-01-04,BNB,878.64,902.85,878.47,895.43,118687.107
2026-01-05,BNB,895.43,916.55,890.59,910.31,140352.785
2026-01-06,BNB,910.31,923.93,891.66,917.64,166897.189
2026-01-07,BNB,917.64,920.27,892.64,900.3,148651.79
2026-01-08,BNB,900.31,905.0,875.1,892.26,134522.755
2026-01-09,BNB,892.27,901.06,885.28,896.86,81581.367
2026-01-10,BNB,896.87,915.91,896.81,907.93,124912.493
2026-01-11,BNB,907.93,917.33,898.75,904.32,98621.081
2026-01-12,BNB,904.32,910.81,894.0,905.78,108522.173
2026-01-13,BNB,905.79,952.96,902.25,943.73,311914.997
2026-01-14,BNB,943.73,954.68,928.5,948.47,183208.698
2026-01-15,BNB,948.48,948.85,924.05,931.2,131201.468
2026-01-16,BNB,931.21,939.43,923.69,938.16,77470.383
